name,price,available,quantity
"Afnan 9am branco 100ml(fem)",190,true,12
"Afnan 9am Dive  100ml(unisex)",180,true,
"Afnan 9am Pour Femme 100ml",180,true,12
"Afnan 9pm Elixir 100ml(unisex)",225,true,17
"Afnan 9pm Night Out 100ml(unissex)",295,true,35
"Afnan 9pm preto 100ml(masc)",170,true,27
"Afnan 9pm Rebel 100ml(unissex)",235,true,10
"Afnan Supremacy Collector's Edition 100ml(masc)",340,true,36
"Afnan Supremacy in Heaven 100ml(masc)",185,true,10
"Afnan Supremacy Silver 100ml(masc)",160,true,10
"Afnan Turathi Blue 90ml(masc)",240,true,49
"Afnan Turathi Electric 90ml(masc)",225,true,28
"Al  Wataniah Hayat 100ml(unissex)",95,true,12
"Al Haramain Amber Oud gold 120ml (masc)",295,true,
"Al Haramain Conception 100ml(unissex)",205,true,10
"Al Haramain Freya 100ml(fem)",205,true,2
"Al Haramain Harmony 100ml(fem)",205,true,3
"Al Haramain Laif 100ml(masc)",205,true,8
"Al Haramain Olaf 100ml(unissex)",205,true,10
"Al Haramain Oud Nomad 100ml(unissex)",205,true,9
"Al Wataniah Al Layl 100ml(unissex)",95,true,4
"Al Wataniah Ameerati dourado 100ml (unisex)",90,true,24
"Al Wataniah Amnia 100ml(fem)",140,true,16
"Al Wataniah Attar Al Wesal 100ml(masc)",150,true,
"Al Wataniah Bareeq Al Dhahab 100ml(masc)",90,true,67
"Al Wataniah Castilla 100ml(unissex)",95,true,31
"Al Wataniah Durrat Al Aroos 85ml(fem)",115,true,
"Al Wataniah Durrat Al Aroos Love 85ml(fem)",200,true,17
"Al Wataniah Granada 75ml(unissex)",95,true,12
"Al wataniah Kayaan Classic 100ml(unissex)",150,false,
"Al Wataniah Kenz Al Malik 100ml(masc)",95,true,6
"Al Wataniah Nada 100ml(unissex)",145,true,
"AL Wataniah Oud Mystery Intense 100ml(unissex)",100,true,7
"Al Wataniah Rose Mystery Intense 100ml(unissex)",100,true,21
"Al Wataniah Sabah Al Ward 100ml (fem)",120,true,
"Al Wataniah Sabah Al Ward Delilah 100ml(fem",210,true,20
"Al Wataniah Sabah Al Ward Sugar 100ml(fem)",210,true,
"Al Wataniah Sabah Al Ward Valentine 100ml(fem)",205,true,16
"Al Wataniah Sevilla 75ml(unissex)",95,true,12
"Al Wataniah Shagaf Al Ward 100ml(fem)",120,true,6
"Al Wataniah Special Oud 100ml(unisex)",100,true,18
"Al Wataniah Sultan Al Lail 100ml(masc)",95,true,30
"Al Wataniah Thahaani 100ml(unissex)",120,true,24
"Al Wataniah Tiara Pink 100ml(fem)",95,true,19
"Al Wataniah Tibyan 100ml(fem)",85,true,14
"Al Wataniah Tiger Eye 100ml(unissex)",95,true,1
"Al Wataniah Watani Intense 100ml(unissex)",100,true,10
"Al Wataniah Watani Noir 100ml(masc)",100,true,12
"Al Wataniah Watani Pink 100ml(fem)",210,true,10
"Al Wataniah Watani Purple 100ml(fem)",100,true,1
"Ard Al Zaafaran Ajmal Ehsaas 100ml(fem)",160,true,6
"Ard Al Zaafaran Al Batal 100ml(masc)",125,true,6
"Ard Al Zaafaran Al Dirgham 100ml(masc)",125,true,10
"Ard Al Zaafaran Alghaza 100ml(unissex)",120,true,10
"Ard Al Zaafaran Amal 100ml(fem)",110,true,10
"Ard Al Zaafaran Barez 100ml(unissex)",110,true,4
"Ard Al Zaafaran Fakhar Al Oud 100ml(unissex)",110,true,10
"Ard Al Zaafaran Jazzab Silver 100ml(masc)",110,true,10
"Ard Al Zaafaran Laila 100ml(fem)",110,true,10
"Ard Al Zaafaran Liwan 100ml(unissex)",125,true,5
"Ard Al Zaafaran Manaal 100ml(fem)",175,true,3
"Ard Al Zaafaran Milena 100ml(fem)",195,true,11
"Ard Al Zaafaran Shams Al Emarat Pink Blush 100ml(fem)",135,true,2
"Ard Al Zaafran Al Hur Intense 100ml(masc)",110,false,0
"Armaf  Tres Jour Pour Femme 100ml",165,true,10
"Armaf Club De Nuit Bling 75ml(masc)",300,true,
"Armaf Club De Nuit Iconic 105ml(masc)",260,true,2
"Armaf Club De Nuit Imperiale 105ml(fem)",220,true,6
"Armaf Club De Nuit intense man 105ml ",220,true,
"Armaf Club De Nuit intense man Limited Edition  105ml",395,true,19
"Armaf Club De Nuit Lionheart 100ml(masc)",285,true,
"Armaf Club de Nuit Maleka 105ml(fem)",225,true,
"Armaf Club De Nuit Milestone 105ml(unissex)",205,true,10
"Armaf Club De Nuit Precieux IV extrairt 55ml (fem)",365,true,
"Armaf Club De Nuit Untold 105ml(unisex)",265,true,8
"Armaf Club de Nuit Urban Elixir 105ml(masc)",215,true,
"Armaf Club De Nuit Urban Man 105ml (masc)",210,true,10
"Armaf Club De Nuit Woman 105ml",235,true,
"Armaf Eter Desert Flower 100ml(unissex)",210,true,19
"Armaf Eter Desert Rose 100ml(unissex)",210,true,22
"Armaf Eter Magical Oud 100ml(unissex)",210,true,22
"Armaf Eter Oasis 100ml(unissex)",210,true,8
"Armaf Infinity Gold 100ml(fem)",315,true,8
"Armaf Island Bliss 100ml(fem)",220,true,11
"Armaf Odyssey Dubai Chocolat 100ml(fem)",125,true,8
"Armaf Odyssey Limoni 100ml(unisex)",175,true,7
"Armaf Odyssey Mandarin Sky limited edition 100ml(masc)",165,true,31
"Armaf Odyssey Tyrant 100ml(masc)",140,true,6
"Armaf TAG Olimpiad Edition 100ml(fem)",155,true,8
"Armaf Tres Nuit Pour Homme 100ml",165,true,8
"Armaf Yum Yum 100ml(fem)",300,true,21
"Arqus Daily 100ml(fem)",120,true,10
"Arqus Intruder 100ml(fem)",120,true,8
"Arqus Nice Girl 100ml(fem)",120,true,10
"Arqus Olive 100ml(fem)",120,true,10
"Arqus Red Diamond 100ml(fem)",120,true,10
"Arqus Secret Lovers 100ml(fem)",120,true,9
"Arqus Unbeatable 100ml(masc)",120,true,10
"Arqus Uno Mil 100ml(masc)",120,true,10
"Arqus Voyage Pour homme 100ml",110,true,19
"Asdaaf Ameer Al Arab Imperium azul 100ml(masc)",110,true,5
"Asdaaf Ameerat Al Arab Prive Rose 100ml(fem)",100,true,14
"Asdaaf Ameerat Al Arab Vermelho 100ml(fem)",100,true,59
"Asdaaf Nora Rave 100ml(unisex)",115,true,12
"Asdaaf Qarar 80ml(unissex)",110,true,10
"Asdaaf Raneen 80ml (fem)",195,true,50
"Asdaaf Reem 100ml(fem)",120,true,19
"Asdaaf Ya Habibti 100ml(fem)",120,true,4
"Aurora Scents Aroma V 100ml(masc)",205,true,4
"Aurora Scents Aura Gold 100ml(fem)",195,false,
"Aurora Scents Aura Silver 100(masc)",195,true,11
"Aurora Scents Black Obsidian 100ml(masc)",270,true,42
"Aurora Scents Black Rouge 100ml(fem)",145,false,0
"Aurora Scents Cafe Citadel 100ml(unissex)",195,true,8
"Aurora Scents Cherry in The Woods 100ml(unissex)",275,true,20
"Aurora Scents Cleopatra 100ml(fem)",220,true,92
"Aurora Scents Dancing In Snowfall 75ml(fem)",285,true,5
"Aurora Scents Deciduous Autumn 100ml(fem)",260,true,10
"Aurora Scents Deciduous Spring 100ml(fem)",260,false,
"Aurora Scents Deciduous Summer 100ml(fem)",260,true,9
"Aurora Scents Deciduous Winter 100ml(fem)",260,true,7
"Aurora Scents Elite 100ml(masc)",210,true,50
"Aurora Scents Elite Vip 100ml(masc)",210,true,47
"Aurora Scents Gemini e Gemini Bloom (50ml × 2) fem",250,false,
"Aurora Scents Gemini e Gemini Noir (50ml × 2) masc",250,true,8
"Aurora Scents Globe Safron 100ml(unissex)",270,true,20
"Aurora Scents Habanera Black 80ml(masc)",240,true,41
"Aurora Scents Habanera Pink 80ml(fem)",200,false,
"Aurora Scents Habanera White 80m(fem",195,false,0
"Aurora Scents ILLICIT 100ml(fem)",190,true,1
"Aurora Scents Monument Gold 75ml(unissex)",230,true,6
"Aurora Scents Monument Pour Homme 75ml(masc)",230,true,9
"Aurora Scents Olibanum 100ml(unissex)",195,true,10
"Aurora Scents Pharaoh 100ml(masc)",220,true,42
"Aurora Scents Vanilla Espresso 100ml(unissex)",195,true,119
"Aurora Scents Voyager Black 100ml(masc)",195,true,16
"Aurora Scents Voyager Silver 100ml(masc)",195,true,12
"Bharara Chocolate 100ml(unissex)",310,true,12
"Bharara Don 100ml(masc)",310,true,12
"Bharara Onyx 100ml(masc)",310,true,12
"Bharara Rose 100ml(fem)",310,true,12
"Bharara Scarlet 100ml(unissex)",310,true,12
"Bharara Viking Beirut 100ml(unissex)",310,true,7
"French Avenue Aether Extrait 100ml(fem)",280,true,
"French Avenue Atlantis extrait 100ml(unisex)",265,true,
"French Avenue Cocoa Morado 100ml(unissex)",185,true,11
"French Avenue Irida Extrait 100ml(fem)",295,true,
"French Avenue Liquid Brun 100ml(masc)",260,true,12
"French Avenue Liquid Brun Limited Edition 150ml(unissex)",310,true,7
"French Avenue Luscious 100ml(fem)",185,true,10
"French Avenue Nectare Extradose 90ml(unissex)",315,true,10
"French Avenue Sh'Mallow Fluff 100ml(fem)",240,true,1
"French Avenue Spectre Ghost 80ml(masc)",210,false,0
"French Avenue Veneno Bianco 100ml(unissex)",265,true,17
"French Avenue Veneno Scarlet 100ml(unissex)",295,true,8
"French Avenue Vulcan Baie 100ml(fem)",280,true,
"French Avenue Vulcan Black 100ml(masc)",290,true,11
"French Avenue Vulcan Sable 100ml(unisex)",210,true,18
"Frenche Avenue Vulcan Feu 100ml(unisex)",285,true,5
"Hawas Black 100ml(masc)",190,true,
"Hawas Diva 100ml(fem)",315,true,
"Hawas Eclat 100ml(fem)",200,true,9
"Hawas Elixir masc(100ml)",185,true,7
"Hawas For Him 100ml(masc)",160,true,
"Hawas Ice 100ml(masc)",215,true,
"Hawas Kobra For Him 100ml",270,true,4
"Hawas Malibu 100ml(masc)",295,true,7
"Hawas Verde 100ml(masc)",240,true,10
"Khadlaj Island 100ml(unissex)",190,true,20
"Khadlaj Island Vanilla Dunes 100ml(unissex)",190,true,11
"Kit Afnan Supremacy In Oud (3 pc ) ",290,true,11
"Kit Afnan Turathi Blue (3 pc)",280,true,6
"Kit Armaf Club De Nuit intense (4 pc)",295,false,0
"Kit Hawas for Him (3 pc)",240,true,6
"Kit Hawas Ice (3pc)",310,true,6
"Kit Lattafa Al Qiam Gold (3pc)",200,true,4
"Kit Lattafa Ansaam gold (3 pc)",190,true,3
"Kit Lattafa Art Of Nature I (3 pc)",240,true,5
"Kit Lattafa Art Of Universe (3pc)",260,false,
"Kit Lattafa Artisan Ethnique (3pc)",200,true,6
"Kit Lattafa Asad (2pc 100ml cada)",240,false,
"Kit Lattafa Asad preto (perfume 100ml + spray 200ml)",190,true,4
"Kit Lattafa Eternal Oud (3 pc)",250,true,8
"Kit Lattafa Ishq Al Shuyukh Silver (3pc)",240,true,4
"Kit Lattafa king Of Arabia (3 pc)",275,true,6
"Kit Lattafa Mini Badee Al Oud (5pc de 5ml cada)",140,true,8
"Kit Lattafa Nebras (3pc)",240,true,8
"Kit Lattafa Peace E Love (3 pc)",240,true,5
"Kit Lattafa Pisa (3pc)",285,false,0
"Kit Lattafa Queen Of Arabia (3pc)",310,false,
"Kit Lattafa Vintage Radio (3pc)",195,true,4
"Kit Lattafa Yara (4 pc × 25ml)",220,true,
"Lattafa  Eclaire Pistache  100ml(unisex)",180,true,
"Lattafa Afaq Gold 100ml(unissex)",170,true,9
"Lattafa Afeef 100ml(unisex)",370,true,22
"Lattafa Affection Love 100ml(unissex)",190,true,1
"Lattafa Ajwaa 90ml(unissex)",205,true,2
"Lattafa Ajwad 60ml(fem)",110,true,6
